,DATE,VALUE,Date,BSI_Value
0,2015-09-01,45.51,2015-08-31,925.0
1,2015-08-01,42.87,2015-07-31,899.0
2,2015-07-01,50.9,2015-06-30,715.0
3,2015-06-01,59.82,2015-05-31,647.0
4,2015-05-01,59.27,2015-04-30,625.0
5,2015-04-01,54.45,2015-03-31,650.0
6,2015-03-01,47.82,2015-02-28,515.0
7,2015-02-01,50.58,2015-01-31,585.0
8,2015-01-01,47.22,2014-12-31,887.0
9,2014-12-01,59.29,2014-11-30,986.0
10,2014-11-01,75.79,2014-10-31,892.0
11,2014-10-01,84.4,2014-09-30,1051.0
12,2014-09-01,93.21,2014-08-31,970.0
13,2014-08-01,96.54,2014-07-31,716.0
14,2014-07-01,103.59,2014-06-30,675.0
15,2014-06-01,105.79,2014-05-31,830.0
16,2014-05-01,102.18,2014-04-30,919.0
17,2014-04-01,102.07,2014-03-31,1090.0
18,2014-03-01,100.8,2014-02-28,1103.0
19,2014-02-01,100.82,2014-01-31,996.0
20,2014-01-01,94.62,2013-12-31,1453.0
21,2013-12-01,97.63,2013-11-30,1475.0
22,2013-11-01,93.86,2013-10-31,1269.0
23,2013-10-01,100.54,2013-09-30,1079.0
24,2013-09-01,106.29,2013-08-31,939.0
25,2013-08-01,106.57,2013-07-31,912.0
26,2013-07-01,104.67,2013-06-30,954.0
27,2013-06-01,95.77,2013-05-31,871.0
28,2013-05-01,94.51,2013-04-30,888.0
29,2013-04-01,92.02,2013-03-31,944.0
30,2013-03-01,92.94,2013-02-28,764.0
31,2013-02-01,95.31,2013-01-31,684.0
32,2013-01-01,94.76,2012-12-31,728.0
33,2012-12-01,87.86,2012-11-30,766.0
34,2012-11-01,86.53,2012-10-31,678.0
35,2012-10-01,89.49,2012-09-30,830.0
36,2012-09-01,94.51,2012-08-31,857.0
